cohort,seed,passed,violations,actions,retries,prevented,planningMs,elapsedMs
before_learning,83,false,2,6,0,0,1.1000000000001364,2.501199999999926
before_learning,84,true,0,6,0,0,1.1545000000000982,2.3494000000000597
before_learning,85,true,0,6,0,0,0.8237000000000307,1.9197000000000344
before_learning,86,false,2,6,0,0,1.5688999999997577,3.3131000000000768
before_learning,87,true,0,6,0,0,1.692600000000084,3.9396000000000413
before_learning,88,true,0,6,0,0,2.0915999999998576,3.825300000000084
before_learning,89,false,2,6,0,0,1.3075000000001182,2.8531000000000404
before_learning,90,true,0,6,0,0,1.0334000000001424,2.3305999999998903
before_learning,91,false,4,6,0,0,1.5734999999999673,3.436399999999935
before_learning,92,false,2,6,0,0,0.9526000000000749,2.2169000000000096
before_learning,93,false,4,6,0,0,1.1441000000002077,2.477899999999977
before_learning,94,false,4,6,0,0,0.7813000000001011,1.7767000000000053
before_learning,95,false,2,6,0,0,1.4189999999999827,2.6870999999999867
before_learning,96,false,4,6,0,0,1.3268000000000484,2.9716000000000804
before_learning,97,false,4,6,0,0,0.6676000000002205,1.5844000000000733
before_learning,98,false,2,6,0,0,1.0779999999998608,3.0027999999999793
before_learning,99,false,4,6,0,0,1.1087999999998601,2.574999999999932
before_learning,100,false,4,6,0,0,1.5907999999999447,3.5330000000000155
text_only_uncompiled,1,true,0,6,0,0,1.4298000000001139,3.3419999999999845
text_only_uncompiled,2,false,2,6,0,0,0.7676999999997633,1.771600000000035
text_only_uncompiled,3,true,0,6,0,0,1.1324999999999363,2.0447000000000344
text_only_uncompiled,4,true,0,6,0,0,1.6918000000002849,3.683400000000006
text_only_uncompiled,5,false,2,6,0,0,1.294300000000021,3.322900000000004
text_only_uncompiled,6,true,0,6,0,0,1.1746999999999161,2.888400000000047
text_only_uncompiled,7,true,0,6,0,0,1.213700000000017,2.723700000000008
text_only_uncompiled,8,false,2,6,0,0,1.156500000000051,2.6561000000000377
text_only_uncompiled,9,false,4,6,0,0,1.4483000000001311,3.0498999999999796
text_only_uncompiled,10,false,4,6,0,0,1.9539000000000897,3.487600000000043
text_only_uncompiled,11,false,2,6,0,0,1.0837999999999965,2.3688000000000784
text_only_uncompiled,12,false,4,6,0,0,1.1137999999998556,2.539800000000014
text_only_uncompiled,13,false,4,6,0,0,0.9443999999999733,2.056100000000015
text_only_uncompiled,14,false,4,6,0,0,0.8400000000000318,1.9125999999999976
text_only_uncompiled,15,false,2,6,0,0,0.9471000000000913,2.25
text_only_uncompiled,16,false,4,6,0,0,1.2418999999998732,3.415399999999977
text_only_uncompiled,17,false,2,6,0,0,1.0102000000000544,2.377899999999954
text_only_uncompiled,18,false,4,6,0,0,1.184400000000096,3.3296000000000276
text_only_uncompiled,19,false,4,6,0,0,0.9022000000001071,2.1118999999999915
text_only_uncompiled,20,false,2,6,0,0,0.7709999999999582,1.695100000000025
text_only_uncompiled,21,false,4,6,0,0,1.062900000000127,2.3911000000000513
text_only_uncompiled,22,false,4,6,0,0,1.4595000000000482,3.6762999999999693
text_only_uncompiled,23,false,2,6,0,0,1.82650000000001,3.9132000000000744
text_only_uncompiled,24,false,4,6,0,0,1.6070000000000846,3.72829999999999
text_only_uncompiled,25,false,4,6,0,0,1.1924000000001342,2.6842000000000326
text_only_uncompiled,26,false,2,6,0,0,1.032400000000166,2.9610999999999876
text_only_uncompiled,27,true,0,6,0,0,1.0793999999999642,2.691000000000031
text_only_uncompiled,28,true,0,6,0,0,1.6834000000001197,3.4091999999999416
text_only_uncompiled,29,false,2,6,0,0,1.3185999999999467,3.1173
text_only_uncompiled,30,true,0,6,0,0,1.274199999999837,2.95900000000006
text_only_uncompiled,31,true,0,6,0,0,1.6544999999998709,3.586900000000014
text_only_uncompiled,32,false,2,6,0,0,1.7675000000002683,4.729199999999992
text_only_uncompiled,33,true,0,6,0,0,1.8266999999999598,3.941100000000006
text_only_uncompiled,34,true,0,6,0,0,1.3460000000001173,3.55379999999991
text_only_uncompiled,35,false,2,6,0,0,1.2763000000001057,2.8659999999999854
text_only_uncompiled,36,false,4,6,0,0,1.2851000000000568,2.871399999999994
text_only_uncompiled,37,false,4,6,0,0,1.3138999999999896,3.488800000000083
text_only_uncompiled,38,false,4,6,0,0,0.7912999999999784,2.1281000000000176
text_only_uncompiled,39,false,4,6,0,0,1.434099999999944,3.2735999999999876
text_only_uncompiled,40,false,4,6,0,0,1.162300000000073,2.7019000000000233
text_only_uncompiled,41,false,2,6,0,0,0.816599999999994,1.9008000000000038
text_only_uncompiled,42,false,4,6,0,0,0.6652999999998883,1.9338000000000193
text_only_uncompiled,43,false,4,6,0,0,0.6272999999999911,1.4396000000000413
text_only_uncompiled,44,false,2,6,0,0,1.4934000000000651,3.3285999999999376
text_only_uncompiled,45,false,4,6,0,0,0.6596000000000686,1.5679000000000087
text_only_uncompiled,46,false,4,6,0,0,1.0667000000000826,2.336900000000014
text_only_uncompiled,47,false,2,6,0,0,0.6947000000000116,1.6005999999999858
text_only_uncompiled,48,false,4,6,0,0,0.6310999999999467,1.4577000000000453
text_only_uncompiled,49,false,4,6,0,0,0.6337999999998374,1.4452999999999747
text_only_uncompiled,50,false,4,6,0,0,1.1712000000001126,3.0477999999999383
text_only_uncompiled,51,false,4,6,0,0,1.8440999999999121,3.9161000000000286
text_only_uncompiled,52,true,0,6,0,0,1.3094000000002097,3.0085000000000264
text_only_uncompiled,53,false,2,6,0,0,1.3564000000000078,3.0646999999999025
text_only_uncompiled,54,true,0,6,0,0,1.2134999999999536,2.7014999999998963
text_only_uncompiled,55,true,0,6,0,0,0.9572999999999183,2.1026999999999134
text_only_uncompiled,56,false,2,6,0,0,1.039700000000039,2.435799999999972
text_only_uncompiled,57,true,0,6,0,0,1.4483000000000175,3.3156999999999925
text_only_uncompiled,58,true,0,6,0,0,1.2085000000000719,3.084100000000035
text_only_uncompiled,59,false,2,6,0,0,0.8016000000000076,1.8868999999999687
text_only_uncompiled,60,true,0,6,0,0,0.9478000000000293,2.416499999999928
text_only_uncompiled,61,true,0,6,0,0,0.9899000000000342,2.214999999999918
text_only_uncompiled,62,false,2,6,0,0,0.9095999999999549,1.9753000000000611
text_only_uncompiled,63,true,0,6,0,0,1.1557999999998856,2.9862000000000535
text_only_uncompiled,64,false,4,6,0,0,1.4210999999999103,3.333499999999958
text_only_uncompiled,65,false,4,6,0,0,0.9163000000002057,2.1239000000000487
text_only_uncompiled,66,false,2,6,0,0,1.9801999999998543,3.57650000000001
text_only_uncompiled,67,false,4,6,0,0,1.1643000000000256,2.6520000000000437
text_only_uncompiled,68,false,2,6,0,0,1.3625999999999294,2.881900000000087
text_only_uncompiled,69,false,4,6,0,0,0.9154999999998381,2.706099999999992
text_only_uncompiled,70,false,4,6,0,0,1.928299999999922,4.309800000000109
text_only_uncompiled,71,false,2,6,0,0,1.4782999999998765,3.54180000000008
text_only_uncompiled,72,false,4,6,0,0,0.8695999999999913,2.0532000000000608
text_only_uncompiled,73,false,4,6,0,0,0.661200000000008,1.5049000000000206
text_only_uncompiled,74,false,2,6,0,0,0.6738000000001421,1.5458999999999605
text_only_uncompiled,75,false,4,6,0,0,0.6571000000001277,1.4549999999999272
text_only_uncompiled,76,false,4,6,0,0,1.157500000000141,3.2427000000000135
text_only_uncompiled,77,false,4,6,0,0,1.1675000000001319,2.6393000000000484
text_only_uncompiled,78,false,2,6,0,0,1.355199999999968,2.931500000000028
text_only_uncompiled,79,false,4,6,0,0,0.74249999999995,1.659599999999955
text_only_uncompiled,80,false,2,6,0,0,1.0012000000000398,2.2310999999999694
text_only_uncompiled,81,true,0,6,0,0,0.8383000000000038,2.5942000000000007
text_only_uncompiled,82,true,0,6,0,0,1.32549999999992,4.157199999999989
text_only_uncompiled,83,false,2,6,0,0,0.9014999999998281,2.152499999999918
text_only_uncompiled,84,true,0,6,0,0,0.9714000000000169,2.2100000000000364
text_only_uncompiled,85,true,0,6,0,0,1.064300000000003,2.4092000000000553
text_only_uncompiled,86,false,2,6,0,0,0.6623999999998205,1.536799999999971
text_only_uncompiled,87,true,0,6,0,0,0.6571999999999889,1.5366999999999962
text_only_uncompiled,88,true,0,6,0,0,1.0503999999998541,2.3899000000000115
text_only_uncompiled,89,false,2,6,0,0,1.169799999999782,4.394900000000007
text_only_uncompiled,90,true,0,6,0,0,0.9316999999998643,2.2187999999999874
text_only_uncompiled,91,false,4,6,0,0,1.175799999999981,2.7737999999999374
text_only_uncompiled,92,false,2,6,0,0,1.1455000000000837,2.6297000000000708
text_only_uncompiled,93,false,4,6,0,0,1.154399999999896,2.705600000000004
text_only_uncompiled,94,false,4,6,0,0,1.1785999999999603,2.6329000000000633
text_only_uncompiled,95,false,2,6,0,0,1.7069999999999936,4.216200000000072
text_only_uncompiled,96,false,4,6,0,0,1.1291000000001077,2.5634000000000015
text_only_uncompiled,97,false,4,6,0,0,1.2320000000001983,2.207400000000007
text_only_uncompiled,98,false,2,6,0,0,0.6319999999999482,1.4569999999999936
text_only_uncompiled,99,false,4,6,0,0,0.6233999999999469,1.4259999999999309
text_only_uncompiled,100,false,4,6,0,0,0.9459999999999127,2.1444999999999936
after_learning,1,true,0,6,0,2,3.7176000000000613,7.3682999999999765
after_learning,2,true,0,6,0,2,1.9082999999999402,3.961300000000051
after_learning,3,true,0,6,0,2,1.4694000000000642,3.2142000000000053
after_learning,4,true,0,6,0,2,1.6641999999998234,4.128500000000031
after_learning,5,true,0,6,0,2,2.348100000000045,4.8034999999999854
after_learning,6,true,0,6,0,2,1.097299999999791,2.32650000000001
after_learning,7,true,0,6,0,2,1.262200000000007,2.6870999999999867
after_learning,8,true,0,6,0,2,1.293500000000222,2.8992999999999256
after_learning,9,true,0,6,0,2,0.7338999999999487,1.799600000000055
after_learning,10,true,0,6,0,2,0.7685000000000173,1.7212999999999283
after_learning,11,true,0,6,0,2,2.1803999999998496,3.6593999999998914
after_learning,12,true,0,6,0,2,1.3060000000002674,3.2250000000000227
after_learning,13,true,0,6,0,2,1.0537000000001626,2.4907000000000608
